Epoch	P1	P2	P3	P4	P5	P6	P7	P8
12.4010	0.00550	0.24386	0.26274	0.24738	0.24913	0.25350	0.30052	0.35922
12.4510	0.00587	0.24949	0.26888	0.25250	0.25212	0.25529	0.30014	0.35438
12.5010	0.00605	0.25195	0.26991	0.25198	0.25048	0.25450	0.29876	0.35404
12.5510	0.00546	0.23115	0.24702	0.23122	0.23457	0.24304	0.29109	0.34733
12.6010	0.00556	0.24641	0.26057	0.23983	0.23873	0.24799	0.29846	0.35435
12.6510	0.00537	0.23932	0.25572	0.23845	0.23958	0.24999	0.29840	0.34994
12.7010	0.00510	0.22967	0.24722	0.23109	0.23283	0.24160	0.28824	0.33498
12.7510	0.00476	0.21707	0.23720	0.22568	0.23035	0.24271	0.29600	0.34805
12.8010	0.00505	0.22563	0.24676	0.23384	0.23717	0.24602	0.29456	0.34709
12.8510	0.00496	0.23039	0.25097	0.23398	0.23656	0.24579	0.29810	0.35814
12.9010	0.00499	0.22982	0.24966	0.23475	0.23747	0.24419	0.29352	0.35093
12.9510	0.00514	0.23193	0.25173	0.23889	0.24178	0.24830	0.29462	0.34886
13.0010	0.00565	0.23955	0.25967	0.24590	0.24868	0.25418	0.29582	0.34476
13.0510	0.00518	0.23094	0.25139	0.23722	0.24180	0.24702	0.29381	0.34316
13.1010	0.00514	0.23273	0.25349	0.23836	0.24092	0.24390	0.28962	0.33981
13.1510	0.00494	0.22666	0.24586	0.22904	0.23081	0.23646	0.28791	0.34526
13.2010	0.00524	0.22958	0.24740	0.23087	0.23217	0.23689	0.28640	0.34366
13.2510	0.00485	0.21836	0.23769	0.22546	0.23037	0.23793	0.28986	0.35338
13.3010	0.00491	0.21532	0.23500	0.22456	0.23058	0.23829	0.28765	0.34809
13.3510	0.00481	0.21509	0.23745	0.23040	0.23969	0.25022	0.30147	0.36344
13.4010	0.00494	0.22219	0.24295	0.23516	0.24504	0.25268	0.29998	0.35675
13.4510	0.00536	0.23629	0.25473	0.24143	0.24641	0.24919	0.28838	0.34182
13.5010	0.00515	0.23475	0.25393	0.24176	0.24850	0.25269	0.29211	0.34612
13.5510	0.00463	0.21568	0.23607	0.22466	0.23307	0.23927	0.27994	0.33439
13.6010	0.00479	0.22280	0.24340	0.23030	0.23582	0.24031	0.27870	0.33352
13.6510	0.00468	0.22330	0.24318	0.22846	0.23369	0.23743	0.27408	0.32712
13.7010	0.00457	0.22081	0.24132	0.22774	0.23396	0.23636	0.27038	0.31910
13.7510	0.00443	0.21971	0.24036	0.22547	0.23085	0.23440	0.27530	0.33148
13.8010	0.00485	0.23468	0.25379	0.23600	0.23883	0.24050	0.28223	0.34143
13.8510	0.00460	0.22087	0.23882	0.21941	0.22182	0.22441	0.26823	0.32435
13.9010	0.00501	0.24081	0.25897	0.23538	0.23552	0.23557	0.27663	0.32964
13.9510	0.00485	0.24319	0.26412	0.24252	0.24347	0.24440	0.28763	0.34399
14.0010	0.00496	0.24517	0.26444	0.24226	0.24219	0.24382	0.28612	0.34154
14.0510	0.00493	0.24456	0.26286	0.24048	0.24154	0.24420	0.28860	0.34611
14.1010	0.00507	0.24580	0.26432	0.24498	0.25073	0.25574	0.29926	0.35837
14.1510	0.00472	0.22129	0.24225	0.22809	0.23714	0.24667	0.29049	0.35068
14.2010	0.00464	0.21596	0.23608	0.22439	0.23518	0.24596	0.28788	0.34486
14.2510	0.00470	0.21423	0.23402	0.22396	0.23605	0.24780	0.29285	0.35317
14.3010	0.00476	0.21647	0.23715	0.22798	0.24098	0.25337	0.29882	0.35970
14.3510	0.00491	0.21536	0.23182	0.21983	0.23108	0.24236	0.28814	0.34767
14.4010	0.00506	0.22189	0.23929	0.22795	0.23638	0.24363	0.28302	0.33837
14.4510	0.00536	0.23464	0.25171	0.23843	0.24519	0.25258	0.29222	0.35032
14.5010	0.00513	0.23645	0.25290	0.23561	0.23858	0.24374	0.28052	0.33339
14.5510	0.00493	0.23130	0.24690	0.23040	0.23167	0.23455	0.26999	0.32032
14.6010	0.00441	0.21971	0.23990	0.22829	0.23448	0.24118	0.28140	0.33930
14.6510	0.00441	0.21608	0.23728	0.22671	0.23267	0.23782	0.27783	0.33758
14.7010	0.00493	0.23555	0.25364	0.23871	0.24057	0.24330	0.28031	0.33809
14.7510	0.00446	0.21397	0.23355	0.22131	0.22654	0.23121	0.27161	0.32766
14.8010	0.00447	0.20675	0.22551	0.21533	0.22092	0.22661	0.26524	0.31859
14.8510	0.00443	0.20852	0.22602	0.21311	0.21653	0.22284	0.26030	0.31532
14.9010	0.00432	0.20074	0.21919	0.21124	0.21942	0.22691	0.26118	0.31012
14.9510	0.00440	0.20806	0.22744	0.21811	0.22806	0.23717	0.27463	0.32772
15.0010	0.00436	0.20798	0.22680	0.21674	0.22614	0.23508	0.27256	0.32604
15.0510	0.00422	0.19758	0.21982	0.21598	0.22919	0.23974	0.27800	0.33093
15.1010	0.00426	0.19987	0.22301	0.22014	0.23404	0.24392	0.28522	0.34328
15.1510	0.00455	0.20872	0.22961	0.22360	0.23296	0.23893	0.27654	0.33247
15.2010	0.00452	0.21493	0.23601	0.22788	0.23418	0.23969	0.27827	0.33661
15.2510	0.00420	0.20580	0.22629	0.21764	0.22353	0.22745	0.26055	0.31170
